TransactionNo,Date,ProductNo,ProductName,Price,Quantity,CustomerNo,Country,Revenue
581482,12/9/2019,22485,Set Of 2 Wooden Market Crates,21.47,12,17490,United Kingdom,257.64
581475,12/9/2019,22596,Christmas Star Wish List Chalkboard,10.65,36,13069,United Kingdom,383.4
581475,12/9/2019,23235,Storage Tin Vintage Leaf,11.53,12,13069,United Kingdom,138.36
581475,12/9/2019,23272,Tree T-Light Holder Willie Winkie,10.65,12,13069,United Kingdom,127.8
581475,12/9/2019,23239,Set Of 4 Knick Knack Tins Poppies,11.94,6,13069,United Kingdom,71.64
581475,12/9/2019,21705,Bag 500g Swirly Marbles,10.65,24,13069,United Kingdom,255.6
581475,12/9/2019,22118,Joy Wooden Block Letters,11.53,18,13069,United Kingdom,207.54
581475,12/9/2019,22119,Peace Wooden Block Letters,12.25,12,13069,United Kingdom,147
581475,12/9/2019,22217,T-Light Holder Hanging Lace,10.65,12,13069,United Kingdom,127.8
581475,12/9/2019,22216,T-Light Holder White Lace,10.55,24,13069,United Kingdom,253.2
581475,12/9/2019,22380,Toy Tidy Spaceboy,11.06,20,13069,United Kingdom,221.2
581475,12/9/2019,22442,Grow Your Own Flowers Set Of 3,12.25,12,13069,United Kingdom,147
581475,12/9/2019,22664,Toy Tidy Dolly Girl Design,11.06,20,13069,United Kingdom,221.2
581475,12/9/2019,22721,Set Of 3 Cake Tins Sketchbook,12.25,12,13069,United Kingdom,147
581475,12/9/2019,22723,Set Of 6 Herb Tins Sketchbook,11.53,12,13069,United Kingdom,138.36
581475,12/9/2019,22785,Squarecushion Cover Pink Union Jack,11.53,12,13069,United Kingdom,138.36
581475,12/9/2019,22955,36 Foil Star Cake Cases,11.06,24,13069,United Kingdom,265.44
581475,12/9/2019,23141,Triple Wire Hook Pink Heart,11.06,12,13069,United Kingdom,132.72
581475,12/9/2019,22956,36 Foil Heart Cake Cases,11.06,24,13069,United Kingdom,265.44
581475,12/9/2019,22581,Wood Stocking Christmas Scandispot,10.55,48,13069,United Kingdom,506.4
581476,12/9/2019,23198,Pantry Magnetic Shopping List,11.53,48,12433,Norway,553.44
581476,12/9/2019,23197,Sketchbook Magnetic Shopping List,11.74,24,12433,Norway,281.76
581476,12/9/2019,23184,Bull Dog Bottle Opener,15.32,8,12433,Norway,122.56
581476,12/9/2019,23168,Classic Cafe Sugar Dispenser,11.53,12,12433,Norway,138.36
581476,12/9/2019,23167,Small Ceramic Top Storage Jar,10.96,96,12433,Norway,1052.16
581476,12/9/2019,23166,Medium Ceramic Top Storage Jar,11.32,48,12433,Norway,543.36
581476,12/9/2019,23165,Large Ceramic Top Storage Jar,11.74,48,12433,Norway,563.52
581476,12/9/2019,23004,Travel Card Wallet Pantry,10.68,48,12433,Norway,512.64
581476,12/9/2019,23002,Travel Card Wallet Skulls,10.68,24,12433,Norway,256.32
581476,12/9/2019,23000,Travel Card Wallet Transport,10.68,24,12433,Norway,256.32
581476,12/9/2019,22998,Travel Card Wallet Keep Calm,10.68,72,12433,Norway,768.96
581476,12/9/2019,22994,Travel Card Wallet Retrospot,10.68,48,12433,Norway,512.64
581476,12/9/2019,22835,Hot Water Bottle I Am So Poorly,15.32,8,12433,Norway,122.56
581476,12/9/2019,22730,Alarm Clock Bakelike Ivory,14.09,4,12433,Norway,56.36
581476,12/9/2019,22728,Alarm Clock Bakelike Pink,14.09,8,12433,Norway,112.72
581476,12/9/2019,22727,Alarm Clock Bakelike Red,14.09,8,12433,Norway,112.72
581476,12/9/2019,22726,Alarm Clock Bakelike Green,14.09,4,12433,Norway,56.36
581476,12/9/2019,22720,Set Of 3 Cake Tins Pantry Design,14.61,16,12433,Norway,233.76
581476,12/9/2019,22693,Grow A Flytrap Or Sunflower In Tin,11.34,192,12433,Norway,2177.28
581476,12/9/2019,22670,French Wc Sign Blue Metal,11.53,24,12433,Norway,276.72
581476,12/9/2019,22667,Recipe Box Retrospot,12.86,24,12433,Norway,308.64
581476,12/9/2019,22666,Recipe Box Pantry Yellow Design,12.86,24,12433,Norway,308.64
581476,12/9/2019,22631,Circus Parade Lunch Box,12.25,12,12433,Norway,147
581476,12/9/2019,22628,Picnic Boxes Set Of 3 Retrospot,15.32,16,12433,Norway,245.12
581476,12/9/2019,22467,Gumball Coat Rack,12.86,6,12433,Norway,77.16
581476,12/9/2019,22197,Popcorn Holder,10.99,100,12433,Norway,1099
581476,12/9/2019,22114,Hot Water Bottle Tea And Sympathy,14.61,8,12433,Norway,116.88
581476,12/9/2019,22112,Chocolate Hot Water Bottle,15.32,9,12433,Norway,137.88
581476,12/9/2019,21908,Chocolate This Way Metal Sign,12.4,36,12433,Norway,446.4
581476,12/9/2019,21874,Gin And Tonic Mug,11.74,36,12433,Norway,422.64
581476,12/9/2019,21872,Glamorous Mug,11.53,12,12433,Norway,138.36
581476,12/9/2019,21871,Save The Planet Mug,11.74,36,12433,Norway,422.64
581476,12/9/2019,21533,Retrospot Large Milk Jug,15.32,6,12433,Norway,91.92
581476,12/9/2019,21481,Fawn Blue Hot Water Bottle,14.09,12,12433,Norway,169.08
581476,12/9/2019,21479,White Skull Hot Water Bottle,14.61,4,12433,Norway,58.44
581476,12/9/2019,21248,Door Hanger Mum + Dads Room,11.74,12,12433,Norway,140.88
581476,12/9/2019,21216,Set 3 Retrospot Tea/Coffee/Sugar,14.61,24,12433,Norway,350.64
581476,12/9/2019,21181,Please One Person Metal Sign,12.15,48,12433,Norway,583.2
581476,12/9/2019,21175,Gin And Tonic Diet Metal Sign,12.38,48,12433,Norway,594.24
581476,12/9/2019,21169,You're Confusing Me Metal Sign,11.74,48,12433,Norway,563.52
581476,12/9/2019,21162,Toxic Area Door Hanger,10.65,24,12433,Norway,255.6
581476,12/9/2019,21159,Moody Boy Door Hanger,10.65,24,12433,Norway,255.6
581476,12/9/2019,21158,Moody Girl Door Hanger,10.65,24,12433,Norway,255.6
581476,12/9/2019,21154,Red Retrospot Oven Glove,11.53,10,12433,Norway,115.3
581476,12/9/2019,16016,Large Chinese Style Scissor,11.12,40,12433,Norway,444.8
581476,12/9/2019,16014,Small Chinese Style Scissor,10.68,60,12433,Norway,640.8
581476,12/9/2019,16008,Small Folding Scissor(Pointed Edge),10.37,240,12433,Norway,2488.8
581476,12/9/2019,85152,Hand Over The Chocolate Sign,12.15,48,12433,Norway,583.2
581476,12/9/2019,84596F,Small Marshmallows Pink Bowl,10.68,32,12433,Norway,341.76
581476,12/9/2019,84596B,Small Dolly Mix Design Orange Bowl,10.68,16,12433,Norway,170.88
